Year, Number of Households
800, 8
801, 9
802, 9
803, 10
804, 10
805, 10
806, 10
807, 10
808, 10
809, 8
810, 8
811, 8
812, 8
813, 8
814, 8
815, 7
816, 8
817, 6
818, 6
819, 6
820, 7
821, 7
822, 6
823, 6
824, 7
825, 7
826, 7
827, 7
828, 7
829, 7
830, 7
831, 5
832, 6
833, 6
834, 6
835, 6
836, 6
837, 6
838, 6
839, 6
840, 6
841, 6
842, 6
843, 5
844, 5
845, 5
846, 5
847, 6
848, 6
849, 6
850, 6
851, 6
852, 6
853, 7
854, 7
855, 7
856, 7
857, 7
858, 7
859, 7
860, 7
861, 7
862, 7
863, 7
864, 7
865, 7
866, 7
867, 7
868, 6
869, 6
870, 6
871, 6
872, 5
873, 5
874, 7
875, 7
876, 8
877, 8
878, 8
879, 8
880, 8
881, 7
882, 7
883, 7
884, 6
885, 6
886, 6
887, 7
888, 6
889, 6
890, 5
891, 6
892, 6
893, 7
894, 8
895, 8
896, 9
897, 8
898, 8
899, 8
900, 8
901, 8
902, 8
903, 8
904, 8
905, 8
906, 7
907, 7
908, 8
909, 8
910, 8
911, 8
912, 9
913, 9
914, 8
915, 10
916, 11
917, 11
918, 12
919, 12
920, 11
921, 11
922, 11
923, 11
924, 10
925, 10
926, 9
927, 9
928, 10
929, 10
930, 9
931, 9
932, 9
933, 9
934, 10
935, 11
936, 10
937, 9
938, 10
939, 10
940, 10
941, 10
942, 10
943, 10
944, 10
945, 10
946, 9
947, 10
948, 10
949, 11
950, 11
951, 10
952, 10
953, 11
954, 12
955, 13
956, 13
957, 13
958, 13
959, 13
960, 13
961, 13
962, 13
963, 13
964, 13
965, 13
966, 13
967, 11
968, 10
969, 10
970, 10
971, 11
972, 11
973, 11
974, 11
975, 11
976, 11
977, 11
978, 10
979, 9
980, 9
981, 9
982, 9
983, 7
984, 7
985, 7
986, 7
987, 6
988, 6
989, 7
990, 6
991, 6
992, 6
993, 5
994, 5
995, 5
996, 5
997, 5
998, 5
999, 5
1000, 5
1001, 5
1002, 5
1003, 5
1004, 5
1005, 6
1006, 6
1007, 6
1008, 5
1009, 5
1010, 5
1011, 5
1012, 5
1013, 5
1014, 5
1015, 5
1016, 5
1017, 4
1018, 4
1019, 4
1020, 4
1021, 4
1022, 3
1023, 3
1024, 2
1025, 2
1026, 2
1027, 2
1028, 2
1029, 2
1030, 2
1031, 2
1032, 1
1033, 1
1034, 0
1035, 0
1036, 0
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 0
1048, 0
1049, 0
1050, 0
1051, 0
1052, 0
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 0
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 0
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
1080, 0
1081, 0
1082, 0
1083, 0
1084, 0
1085, 0
1086, 0
1087, 0
1088, 0
1089, 0
1090, 0
1091, 0
1092, 0
1093, 0
1094, 0
1095, 0
1096, 0
1097, 0
1098, 0
1099, 0
1100, 0
1101, 0
1102, 0
1103, 0
1104, 0
1105, 0
1106, 0
1107, 0
1108, 0
1109, 0
1110, 0
1111, 0
1112, 0
1113, 0
1114, 0
1115, 0
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
