Year, Number of Households
800, 9
801, 9
802, 10
803, 10
804, 12
805, 15
806, 15
807, 14
808, 13
809, 13
810, 13
811, 12
812, 12
813, 12
814, 12
815, 10
816, 10
817, 9
818, 9
819, 9
820, 9
821, 9
822, 11
823, 12
824, 15
825, 15
826, 15
827, 19
828, 18
829, 18
830, 18
831, 18
832, 17
833, 14
834, 14
835, 13
836, 12
837, 12
838, 11
839, 11
840, 13
841, 13
842, 15
843, 17
844, 19
845, 20
846, 22
847, 25
848, 25
849, 24
850, 24
851, 24
852, 23
853, 19
854, 18
855, 18
856, 17
857, 18
858, 20
859, 20
860, 20
861, 23
862, 21
863, 25
864, 28
865, 30
866, 31
867, 31
868, 31
869, 34
870, 34
871, 35
872, 32
873, 31
874, 31
875, 30
876, 31
877, 30
878, 27
879, 29
880, 29
881, 31
882, 31
883, 33
884, 36
885, 41
886, 42
887, 42
888, 42
889, 42
890, 41
891, 40
892, 42
893, 40
894, 40
895, 39
896, 39
897, 33
898, 33
899, 36
900, 38
901, 40
902, 43
903, 48
904, 51
905, 53
906, 56
907, 59
908, 61
909, 62
910, 63
911, 63
912, 59
913, 57
914, 57
915, 54
916, 52
917, 51
918, 53
919, 52
920, 54
921, 61
922, 66
923, 71
924, 72
925, 77
926, 78
927, 82
928, 82
929, 83
930, 85
931, 85
932, 87
933, 88
934, 82
935, 79
936, 78
937, 75
938, 75
939, 79
940, 81
941, 84
942, 87
943, 92
944, 96
945, 101
946, 103
947, 104
948, 111
949, 113
950, 117
951, 116
952, 101
953, 103
954, 103
955, 93
956, 94
957, 97
958, 87
959, 93
960, 89
961, 92
962, 91
963, 91
964, 91
965, 78
966, 79
967, 77
968, 76
969, 72
970, 65
971, 64
972, 67
973, 68
974, 65
975, 61
976, 62
977, 63
978, 61
979, 57
980, 56
981, 56
982, 54
983, 55
984, 56
985, 55
986, 57
987, 57
988, 54
989, 53
990, 55
991, 55
992, 58
993, 61
994, 62
995, 63
996, 64
997, 63
998, 67
999, 72
1000, 75
1001, 74
1002, 75
1003, 75
1004, 75
1005, 69
1006, 72
1007, 71
1008, 71
1009, 74
1010, 73
1011, 73
1012, 71
1013, 71
1014, 74
1015, 75
1016, 75
1017, 75
1018, 77
1019, 74
1020, 76
1021, 80
1022, 80
1023, 78
1024, 82
1025, 82
1026, 85
1027, 83
1028, 78
1029, 76
1030, 78
1031, 76
1032, 74
1033, 74
1034, 72
1035, 70
1036, 71
1037, 74
1038, 79
1039, 81
1040, 82
1041, 84
1042, 88
1043, 92
1044, 92
1045, 90
1046, 91
1047, 91
1048, 89
1049, 87
1050, 86
1051, 87
1052, 89
1053, 86
1054, 84
1055, 86
1056, 87
1057, 92
1058, 93
1059, 92
1060, 95
1061, 99
1062, 100
1063, 101
1064, 107
1065, 109
1066, 106
1067, 105
1068, 99
1069, 96
1070, 91
1071, 91
1072, 92
1073, 94
1074, 91
1075, 94
1076, 97
1077, 101
1078, 105
1079, 111
1080, 120
1081, 123
1082, 129
1083, 127
1084, 128
1085, 124
1086, 123
1087, 120
1088, 121
1089, 119
1090, 115
1091, 115
1092, 117
1093, 116
1094, 119
1095, 125
1096, 130
1097, 138
1098, 145
1099, 147
1100, 150
1101, 155
1102, 158
1103, 157
1104, 153
1105, 147
1106, 149
1107, 146
1108, 147
1109, 146
1110, 142
1111, 143
1112, 138
1113, 138
1114, 143
1115, 150
1116, 154
1117, 162
1118, 162
1119, 168
1120, 171
1121, 173
1122, 171
1123, 174
1124, 174
1125, 177
1126, 176
1127, 175
1128, 168
1129, 175
1130, 172
1131, 174
1132, 167
1133, 165
1134, 159
1135, 159
1136, 160
1137, 153
1138, 155
1139, 155
1140, 151
1141, 148
1142, 142
1143, 139
1144, 137
1145, 130
1146, 125
1147, 122
1148, 118
1149, 117
1150, 108
1151, 110
1152, 102
1153, 105
1154, 99
1155, 97
1156, 95
1157, 95
1158, 88
1159, 79
1160, 77
1161, 75
1162, 72
1163, 73
1164, 73
1165, 73
1166, 72
1167, 66
1168, 65
1169, 66
1170, 65
1171, 64
1172, 66
1173, 65
1174, 65
1175, 63
1176, 61
1177, 60
1178, 56
1179, 55
1180, 56
1181, 56
1182, 54
1183, 53
1184, 51
1185, 51
1186, 50
1187, 52
1188, 50
1189, 51
1190, 50
1191, 47
1192, 47
1193, 50
1194, 50
1195, 50
1196, 49
1197, 49
1198, 51
1199, 50
1200, 51
1201, 50
1202, 52
1203, 51
1204, 51
1205, 47
1206, 45
1207, 44
1208, 46
1209, 48
1210, 48
1211, 47
1212, 48
1213, 49
1214, 47
1215, 48
1216, 49
1217, 48
1218, 48
1219, 47
1220, 45
1221, 43
1222, 43
1223, 43
1224, 43
1225, 42
1226, 42
1227, 42
1228, 43
1229, 43
1230, 41
1231, 43
1232, 42
1233, 41
1234, 42
1235, 43
1236, 41
1237, 42
1238, 41
1239, 41
1240, 40
1241, 41
1242, 39
1243, 38
1244, 38
1245, 39
1246, 36
1247, 37
1248, 40
1249, 36
1250, 36
