Year, Number of Households
800, 14
801, 14
802, 15
803, 14
804, 14
805, 13
806, 12
807, 12
808, 10
809, 9
810, 9
811, 10
812, 10
813, 10
814, 9
815, 10
816, 9
817, 9
818, 9
819, 7
820, 6
821, 6
822, 6
823, 6
824, 6
825, 7
826, 8
827, 8
828, 8
829, 8
830, 7
831, 7
832, 6
833, 7
834, 7
835, 8
836, 9
837, 9
838, 9
839, 9
840, 10
841, 10
842, 10
843, 10
844, 10
845, 9
846, 9
847, 9
848, 9
849, 9
850, 9
851, 9
852, 9
853, 9
854, 10
855, 11
856, 11
857, 11
858, 8
859, 8
860, 9
861, 9
862, 9
863, 9
864, 10
865, 9
866, 8
867, 8
868, 9
869, 8
870, 8
871, 8
872, 8
873, 7
874, 8
875, 8
876, 8
877, 8
878, 9
879, 9
880, 9
881, 8
882, 8
883, 8
884, 9
885, 9
886, 9
887, 8
888, 8
889, 8
890, 8
891, 8
892, 9
893, 9
894, 9
895, 7
896, 8
897, 7
898, 8
899, 9
900, 9
901, 9
902, 9
903, 9
904, 10
905, 10
906, 10
907, 10
908, 10
909, 10
910, 10
911, 10
912, 9
913, 9
914, 8
915, 8
916, 8
917, 8
918, 8
919, 8
920, 8
921, 8
922, 9
923, 8
924, 8
925, 8
926, 7
927, 7
928, 8
929, 8
930, 8
931, 8
932, 8
933, 7
934, 7
935, 6
936, 5
937, 5
938, 5
939, 5
940, 5
941, 6
942, 6
943, 6
944, 6
945, 6
946, 6
947, 6
948, 7
949, 8
950, 9
951, 11
952, 10
953, 10
954, 9
955, 9
956, 8
957, 8
958, 8
959, 7
960, 6
961, 6
962, 6
963, 6
964, 6
965, 6
966, 6
967, 6
968, 6
969, 6
970, 6
971, 8
972, 8
973, 8
974, 8
975, 10
976, 10
977, 9
978, 9
979, 9
980, 7
981, 7
982, 6
983, 6
984, 5
985, 4
986, 4
987, 4
988, 4
989, 4
990, 4
991, 4
992, 4
993, 4
994, 4
995, 5
996, 7
997, 7
998, 8
999, 8
1000, 7
1001, 7
1002, 6
1003, 6
1004, 6
1005, 6
1006, 6
1007, 5
1008, 5
1009, 5
1010, 4
1011, 4
1012, 4
1013, 4
1014, 4
1015, 4
1016, 4
1017, 4
1018, 4
1019, 5
1020, 5
1021, 7
1022, 7
1023, 7
1024, 7
1025, 7
1026, 7
1027, 6
1028, 6
1029, 6
1030, 5
1031, 3
1032, 3
1033, 3
1034, 3
1035, 3
1036, 3
1037, 3
1038, 3
1039, 3
1040, 3
1041, 3
1042, 3
1043, 4
1044, 4
1045, 4
1046, 4
1047, 4
1048, 4
1049, 3
1050, 2
1051, 2
1052, 2
1053, 1
1054, 1
1055, 1
1056, 1
1057, 1
1058, 1
1059, 1
1060, 1
1061, 1
1062, 1
1063, 2
1064, 2
1065, 2
1066, 2
1067, 2
1068, 2
1069, 2
1070, 2
1071, 2
1072, 2
1073, 2
1074, 1
1075, 1
1076, 1
1077, 1
1078, 1
1079, 1
1080, 1
1081, 1
1082, 1
1083, 2
1084, 2
1085, 2
1086, 2
1087, 2
1088, 2
1089, 2
1090, 2
1091, 2
1092, 2
1093, 1
1094, 1
1095, 1
1096, 1
1097, 1
1098, 1
1099, 1
1100, 1
1101, 1
1102, 1
1103, 1
1104, 1
1105, 1
1106, 1
1107, 1
1108, 1
1109, 1
1110, 1
1111, 1
1112, 1
1113, 1
1114, 1
1115, 1
1116, 0
1117, 0
1118, 0
1119, 0
1120, 0
1121, 0
1122, 0
1123, 0
1124, 0
1125, 0
1126, 0
1127, 0
1128, 0
1129, 0
1130, 0
1131, 0
1132, 0
1133, 0
1134, 0
1135, 0
1136, 0
1137, 0
1138, 0
1139, 0
1140, 0
1141, 0
1142, 0
1143, 0
1144, 0
1145, 0
1146, 0
1147, 0
1148, 0
1149, 0
1150, 0
1151, 0
1152, 0
1153, 0
1154, 0
1155, 0
1156, 0
1157, 0
1158, 0
1159, 0
1160, 0
1161, 0
1162, 0
1163, 0
1164, 0
1165, 0
1166, 0
1167, 0
1168, 0
1169, 0
1170, 0
1171, 0
1172, 0
1173, 0
1174, 0
1175, 0
1176, 0
1177, 0
1178, 0
1179, 0
1180, 0
1181, 0
1182, 0
1183, 0
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
