Year, Number of Households
800, 14
801, 16
802, 17
803, 16
804, 18
805, 17
806, 18
807, 18
808, 18
809, 16
810, 16
811, 17
812, 18
813, 18
814, 17
815, 16
816, 18
817, 18
818, 17
819, 18
820, 16
821, 16
822, 17
823, 17
824, 17
825, 17
826, 17
827, 18
828, 19
829, 20
830, 21
831, 23
832, 22
833, 24
834, 25
835, 24
836, 25
837, 24
838, 23
839, 21
840, 23
841, 24
842, 24
843, 24
844, 26
845, 24
846, 22
847, 22
848, 22
849, 23
850, 23
851, 22
852, 24
853, 25
854, 28
855, 28
856, 28
857, 29
858, 28
859, 27
860, 26
861, 25
862, 25
863, 25
864, 25
865, 24
866, 23
867, 24
868, 22
869, 23
870, 24
871, 25
872, 24
873, 22
874, 23
875, 23
876, 22
877, 25
878, 28
879, 28
880, 28
881, 26
882, 27
883, 25
884, 23
885, 24
886, 24
887, 25
888, 26
889, 24
890, 23
891, 24
892, 24
893, 24
894, 27
895, 29
896, 31
897, 30
898, 30
899, 32
900, 31
901, 34
902, 34
903, 36
904, 36
905, 36
906, 36
907, 35
908, 36
909, 36
910, 37
911, 36
912, 37
913, 37
914, 36
915, 38
916, 40
917, 41
918, 40
919, 40
920, 41
921, 41
922, 39
923, 39
924, 39
925, 37
926, 37
927, 36
928, 39
929, 39
930, 41
931, 40
932, 41
933, 41
934, 41
935, 41
936, 40
937, 39
938, 38
939, 37
940, 38
941, 37
942, 35
943, 35
944, 37
945, 36
946, 37
947, 35
948, 36
949, 35
950, 35
951, 34
952, 27
953, 30
954, 30
955, 24
956, 24
957, 22
958, 19
959, 19
960, 18
961, 18
962, 21
963, 22
964, 22
965, 18
966, 18
967, 17
968, 17
969, 17
970, 14
971, 12
972, 12
973, 12
974, 12
975, 12
976, 14
977, 13
978, 12
979, 11
980, 10
981, 10
982, 9
983, 9
984, 11
985, 11
986, 12
987, 11
988, 11
989, 11
990, 11
991, 12
992, 11
993, 10
994, 10
995, 9
996, 8
997, 8
998, 9
999, 10
1000, 10
1001, 10
1002, 10
1003, 10
1004, 9
1005, 10
1006, 10
1007, 11
1008, 12
1009, 11
1010, 12
1011, 13
1012, 14
1013, 13
1014, 13
1015, 12
1016, 11
1017, 12
1018, 12
1019, 12
1020, 13
1021, 13
1022, 13
1023, 14
1024, 13
1025, 13
1026, 13
1027, 14
1028, 14
1029, 15
1030, 16
1031, 16
1032, 17
1033, 15
1034, 15
1035, 16
1036, 17
1037, 18
1038, 18
1039, 18
1040, 16
1041, 15
1042, 15
1043, 15
1044, 14
1045, 15
1046, 17
1047, 17
1048, 18
1049, 17
1050, 18
1051, 17
1052, 20
1053, 20
1054, 22
1055, 23
1056, 23
1057, 24
1058, 23
1059, 23
1060, 20
1061, 20
1062, 20
1063, 19
1064, 19
1065, 21
1066, 23
1067, 23
1068, 21
1069, 20
1070, 21
1071, 22
1072, 23
1073, 21
1074, 21
1075, 21
1076, 21
1077, 20
1078, 20
1079, 20
1080, 21
1081, 19
1082, 20
1083, 21
1084, 20
1085, 21
1086, 20
1087, 22
1088, 24
1089, 22
1090, 22
1091, 23
1092, 23
1093, 24
1094, 23
1095, 24
1096, 24
1097, 28
1098, 27
1099, 26
1100, 28
1101, 26
1102, 27
1103, 27
1104, 29
1105, 30
1106, 31
1107, 30
1108, 30
1109, 30
1110, 30
1111, 31
1112, 32
1113, 33
1114, 31
1115, 30
1116, 29
1117, 30
1118, 33
1119, 31
1120, 31
1121, 31
1122, 32
1123, 34
1124, 34
1125, 34
1126, 36
1127, 36
1128, 35
1129, 39
1130, 38
1131, 36
1132, 36
1133, 36
1134, 33
1135, 34
1136, 35
1137, 33
1138, 34
1139, 35
1140, 37
1141, 37
1142, 37
1143, 39
1144, 40
1145, 42
1146, 41
1147, 40
1148, 38
1149, 37
1150, 42
1151, 41
1152, 42
1153, 42
1154, 43
1155, 45
1156, 44
1157, 39
1158, 38
1159, 38
1160, 37
1161, 37
1162, 36
1163, 38
1164, 40
1165, 41
1166, 44
1167, 46
1168, 48
1169, 47
1170, 47
1171, 49
1172, 51
1173, 52
1174, 52
1175, 53
1176, 56
1177, 56
1178, 56
1179, 54
1180, 55
1181, 52
1182, 50
1183, 49
1184, 51
1185, 51
1186, 49
1187, 51
1188, 53
1189, 54
1190, 56
1191, 58
1192, 56
1193, 56
1194, 58
1195, 56
1196, 60
1197, 61
1198, 59
1199, 61
1200, 64
1201, 64
1202, 58
1203, 57
1204, 59
1205, 57
1206, 57
1207, 55
1208, 55
1209, 55
1210, 57
1211, 58
1212, 56
1213, 57
1214, 56
1215, 56
1216, 55
1217, 57
1218, 55
1219, 57
1220, 57
1221, 59
1222, 64
1223, 69
1224, 69
1225, 68
1226, 68
1227, 67
1228, 67
1229, 63
1230, 64
1231, 60
1232, 59
1233, 59
1234, 56
1235, 55
1236, 56
1237, 56
1238, 54
1239, 54
1240, 57
1241, 57
1242, 59
1243, 55
1244, 55
1245, 55
1246, 54
1247, 51
1248, 54
1249, 55
1250, 53
